trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
28,Ideal Channel,1200,581,0.4841666666666667,116,0.0,0.0,0,0,0,30,465,348,0.29,0.7483870967741936,True,True,True,307,0.0,274,0.0,0.0,0.032054506499638716
29,Ideal Channel,1200,586,0.48833333333333334,117,0.0,0.0,0,0,0,30,469,351,0.2925,0.7484008528784648,True,True,True,320,0.0,266,0.0,0.0,0.03178924566273338
0,Low Noise (2% Depol),1200,635,0.5291666666666667,127,0.007874015748031496,0.012598425196850394,1,8,7,60,508,381,0.3175,0.75,True,True,True,334,0.014970059880239521,301,0.009966777408637873,0.0013913120414446208,0.043254008129582314
1,Low Noise (2% Depol),1200,601,0.5008333333333334,120,0.0,0.009983361064891847,0,6,6,55,481,360,0.3,0.7484407484407485,True,True,True,325,0.009230769230769232,276,0.010869565217391304,0.0,0.031019166418703486
2,Low Noise (2% Depol),1200,583,0.48583333333333334,117,0.008547008547008548,0.015437392795883362,1,9,8,92,466,349,0.29083333333333333,0.7489270386266095,True,True,True,290,0.017241379310344827,293,0.013651877133105802,0.0015103535737964364,0.046829503274189374
3,Low Noise (2% Depol),1200,605,0.5041666666666667,121,0.024793388429752067,0.013223140495867768,3,8,5,82,484,280,0.23333333333333334,0.5785123966942148,True,True,True,307,0.016286644951140065,298,0.010067114093959731,0.008467314305269862,0.07036434076877973
4,Low Noise (2% Depol),1200,621,0.5175,124,0.008064516129032258,0.00966183574879227,1,6,5,84,497,372,0.31,0.7484909456740443,True,True,True,330,0.006060606060606061,291,0.013745704467353952,0.0014250064581251692,0.04426798605447708
5,Low Noise (2% Depol),1200,611,0.5091666666666667,122,0.00819672131147541,0.006546644844517185,1,4,3,43,489,366,0.305,0.7484662576687117,True,True,True,316,0.006329113924050633,295,0.006779661016949152,0.0014483909512207002,0.044970800906824746
6,Low Noise (2% Depol),1200,593,0.49416666666666664,119,0.008403361344537815,0.00505902192242833,1,3,2,38,474,355,0.29583333333333334,0.7489451476793249,True,True,True,313,0.006389776357827476,280,0.0035714285714285713,0.0014849430400896285,0.04606788543307778
7,Low Noise (2% Depol),1200,611,0.5091666666666667,122,0.0,0.004909983633387889,0,3,3,43,489,366,0.305,0.7484662576687117,True,True,True,288,0.010416666666666666,323,0.0,0.0,0.030526178389012868
8,Low Noise (2% Depol),1200,592,0.49333333333333335,118,0.03389830508474576,0.010135135135135136,4,6,2,38,474,252,0.21,0.5316455696202531,True,True,True,304,0.009868421052631578,288,0.010416666666666666,0.013259833647159602,0.08392760103482663
9,Low Noise (2% Depol),1200,578,0.4816666666666667,116,0.02586206896551724,0.00865051903114187,3,5,2,37,462,283,0.23583333333333334,0.6125541125541125,True,True,True,308,0.006493506493506494,270,0.011111111111111112,0.008833887872088338,0.0732867648430863
10,Low Noise (2% Depol),1200,606,0.505,121,0.01652892561983471,0.00825082508250825,2,5,3,41,485,346,0.28833333333333333,0.7134020618556701,True,True,True,293,0.010238907849829351,313,0.006389776357827476,0.004544593546124867,0.05826674248573428
11,Low Noise (2% Depol),1200,599,0.49916666666666665,120,0.008333333333333333,0.01001669449081803,1,6,5,50,479,359,0.2991666666666667,0.7494780793319415,True,True,True,297,0.010101010101010102,302,0.009933774834437087,0.0014725557333420923,0.045696291245049675
12,Low Noise (2% Depol),1200,603,0.5025,121,0.01652892561983471,0.014925373134328358,2,9,7,59,482,335,0.2791666666666667,0.6950207468879668,True,True,True,299,0.010033444816053512,304,0.019736842105263157,0.004544593546124867,0.05826674248573428
13,Low Noise (2% Depol),1200,588,0.49,118,0.0,0.00510204081632653,0,3,3,42,470,352,0.29333333333333333,0.7489361702127659,True,True,True,291,0.003436426116838488,297,0.006734006734006734,0.0,0.03152833902249433
14,Low Noise (2% Depol),1200,609,0.5075,122,0.00819672131147541,0.011494252873563218,1,7,6,53,487,365,0.30416666666666664,0.7494866529774127,True,True,True,313,0.009584664536741214,296,0.013513513513513514,0.0014483909512207002,0.044970800906824746
15,Low Noise (2% Depol),1200,615,0.5125,123,0.008130081300813009,0.014634146341463415,1,9,8,94,492,369,0.3075,0.75,True,True,True,304,0.013157894736842105,311,0.01607717041800643,0.001436603549876729,0.04461662600933025
16,Low Noise (2% Depol),1200,591,0.4925,118,0.00847457627118644,0.015228426395939087,1,9,8,62,473,354,0.295,0.7484143763213531,True,True,True,290,0.006896551724137931,301,0.023255813953488372,0.0014975405219652578,0.04644557241540204
17,Low Noise (2% Depol),1200,609,0.5075,122,0.02459016393442623,0.013136288998357963,3,8,5,51,487,299,0.24916666666666668,0.6139630390143738,True,True,True,293,0.013651877133105802,316,0.012658227848101266,0.00839762036022058,0.06980759843589
18,Low Noise (2% Depol),1200,602,0.5016666666666667,120,0.025,0.011627906976744186,3,7,4,47,482,295,0.24583333333333332,0.6120331950207469,True,True,True,298,0.010067114093959731,304,0.013157894736842105,0.008538174769902228,0.0709300333278661
19,Low Noise (2% Depol),1200,590,0.49166666666666664,118,0.03389830508474576,0.013559322033898305,4,8,4,76,472,232,0.19333333333333333,0.4915254237288136,True,True,True,289,0.01384083044982699,301,0.013289036544850499,0.013259833647159602,0.08392760103482663
20,Low Noise (2% Depol),1200,613,0.5108333333333334,123,0.016260162601626018,0.009787928221859706,2,6,4,47,490,349,0.29083333333333333,0.7122448979591837,True,True,True,298,0.003355704697986577,315,0.015873015873015872,0.004470508507497795,0.0573504362656066
21,Low Noise (2% Depol),1200,624,0.52,125,0.0,0.014423076923076924,0,9,9,100,499,374,0.31166666666666665,0.749498997995992,True,True,True,309,0.022653721682847898,315,0.006349206349206349,0.0,0.029815393708326456
22,Low Noise (2% Depol),1200,608,0.5066666666666667,122,0.00819672131147541,0.006578947368421052,1,4,3,43,486,364,0.30333333333333334,0.7489711934156379,True,True,True,306,0.0032679738562091504,302,0.009933774834437087,0.0014483909512207002,0.044970800906824746
23,Low Noise (2% Depol),1200,597,0.4975,119,0.008403361344537815,0.01340033500837521,1,8,7,88,478,358,0.29833333333333334,0.7489539748953975,True,True,True,309,0.012944983818770227,288,0.013888888888888888,0.0014849430400896285,0.04606788543307778
