condition_name,total_signals,num_trials,master_seed,eve_enabled,eve_probability,noise_model,noise_probability,acceptance_rate,key_agreement_rate,mean_sifting_ratio,qber_mean,qber_std,qber_median,qber_min,qber_max,actual_qber_mean,actual_qber_std,final_key_length_mean,final_key_length_std,final_key_rate_mean,final_key_rate_std,leakage_mean,mean_z_basis_qber,mean_x_basis_qber,pooled_ci_lower,pooled_ci_upper
Ideal Channel,1500,10,1001,False,0.0,none,0.0,1.0,1.0,0.4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.3,11.175866856758807,0.2995333333333333,0.007450577904505864,38.1,0.0,0.0,0.0,0.0025561304541788362
Eve Intercept-Resend,1500,10,1101,True,1.0,none,0.0,0.0,0.0,0.49413333333333337,0.2383108152632855,0.040986160846585636,0.22808529498670344,0.1935483870967742,0.3310810810810811,0.25056101644209494,0.01413523065114612,0.0,0.0,0.0,0.0,0.0,0.25060212913045016,0.2509769686480852,0.21705009969924308,0.2603656022974669
Bit-Flip Noise (5%),1500,10,1201,False,0.0,bit_flip,0.05,1.0,1.0,0.49906666666666666,0.021540656897694195,0.010808172706847816,0.020003556187766714,0.012738853503184714,0.04794520547945205,0.02473140424823226,0.008021022034586526,353.3,75.47633919168163,0.23553333333333332,0.0503175594611211,140.7,0.04897182547422649,0.0,0.015192145549629688,0.030040274464974377
Phase-Flip Noise (5%),1500,10,1301,False,0.0,phase_flip,0.05,1.0,1.0,0.5024,0.023225958515841232,0.012491099392913908,0.01684654453110829,0.013157894736842105,0.046357615894039736,0.026959234652705066,0.0046097686757881,342.1,77.49473100368394,0.2280666666666667,0.05166315400245596,147.0,0.0,0.05415766427784856,0.016757461070312583,0.032149302212217866
Depolarizing Noise (5%),1500,10,1401,False,0.0,depolarizing,0.05,1.0,1.0,0.49733333333333335,0.024180880805537774,0.010118227108760551,0.023225008830801835,0.013157894736842105,0.040268456375838924,0.0226159774711233,0.003630423461361014,335.9,65.78154080827775,0.22393333333333332,0.04385436053885184,136.2,0.02287747729143495,0.022359411920584576,0.017479106668382018,0.03322242882755666
Eve + Depol Noise,1500,10,1501,True,0.5,depolarizing,0.05,0.0,0.0,0.49273333333333336,0.1384061760999385,0.025224202728137933,0.13758389261744966,0.11188811188811189,0.1986754966887417,0.1454595017991219,0.009566956597646947,0.0,0.0,0.0,0.0,0.0,0.151691939062453,0.13969206548369734,0.12193139314066845,0.15715539416147703
