regime,total_signals,trials_count,qber_mean,qber_median,qber_std,qber_variance,qber_min,qber_max,key_rate_mean,key_rate_std,key_rate_median,key_rate_variance,acceptance_probability,key_agreement_probability,pooled_ci_lower,pooled_ci_upper
Ideal Channel,1200,30,0.0,0.0,0.0,0.0,0.0,0.0,0.29813888888888884,0.009156690844874475,0.2991666666666667,8.3844987228608e-05,1.0,1.0,0.0,0.001072182195289924
Low Noise (2% Depol),1200,30,0.011648794261732574,0.008403361344537815,0.009778254986949895,9.56142705898105e-05,0.0,0.03389830508474576,0.2850833333333333,0.03137062924632441,0.29708333333333337,0.0009841163793103446,1.0,1.0,0.008597504646175027,0.015649059775467718
Moderate Noise (4% Depol),1200,30,0.021727185300965166,0.01680672268907563,0.012122692302666991,0.0001469596686651415,0.0,0.06140350877192982,0.2419444444444444,0.04929985531779018,0.25625,0.0024304757343550447,1.0,1.0,0.01742010875434063,0.026994589878444553
Full Eve (100% Intercept),1200,30,0.23287849837657124,0.2199820788530466,0.042954048920679264,0.0018450503186801077,0.1721311475409836,0.3050847457627119,0.0,0.0,0.0,0.0,0.0,0.0,0.21953010027758396,0.24702159889085828
