condition_name,total_signals,num_trials,master_seed,eve_enabled,eve_probability,noise_model,noise_probability,acceptance_rate,key_agreement_rate,mean_sifting_ratio,qber_mean,qber_std,qber_median,qber_min,qber_max,actual_qber_mean,actual_qber_std,final_key_length_mean,final_key_length_std,final_key_rate_mean,final_key_rate_std,leakage_mean,mean_z_basis_qber,mean_x_basis_qber,pooled_ci_lower,pooled_ci_upper
bit_flip_p_0.00,1000,6,3003,False,1.0,bit_flip,0.0,1.0,1.0,0.49933333333333324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.3333333333333,6.683312551921141,0.29933333333333334,0.006683312551921146,25.333333333333332,0.0,0.0,0.0,0.006372253872865615
bit_flip_p_0.02,1000,6,3056,False,1.0,bit_flip,0.02,1.0,1.0,0.5028333333333334,0.01495960196376285,0.015433571702412656,0.014470642625982431,0.0,0.04081632653061224,0.012308704214947681,0.003594711783975231,269.0,54.527057503591735,0.26899999999999996,0.054527057503591735,48.5,0.02538641301442096,0.0,0.007871786686854537,0.028120247975938185
bit_flip_p_0.04,1000,6,3109,False,1.0,bit_flip,0.04,1.0,1.0,0.5083333333333334,0.018044635518303827,0.016851293971721273,0.010152545866831581,0.0,0.039603960396039604,0.023346966670326933,0.007610882222431283,250.83333333333334,70.4369694596997,0.2508333333333333,0.07043696945969968,100.16666666666667,0.04784127828904363,0.0,0.010098503945057055,0.03199943266277727
bit_flip_p_0.06,1000,6,3162,False,1.0,bit_flip,0.06,1.0,1.0,0.5066666666666667,0.024391679748822604,0.01755832319010497,0.02040816326530612,0.009615384615384616,0.05714285714285714,0.03252349895378597,0.006286681443951969,212.83333333333334,64.45592809561171,0.21283333333333332,0.06445592809561171,124.33333333333333,0.06617931991341093,0.0,0.015006991075700107,0.04030383876888498
bit_flip_p_0.08,1000,6,3215,False,1.0,bit_flip,0.08,1.0,1.0,0.4923333333333333,0.04268048317952663,0.020974556416677895,0.03504247572815534,0.020202020202020204,0.07608695652173914,0.0360271666391061,0.010789483144904806,140.5,80.04935977258032,0.14049999999999999,0.08004935977258032,116.83333333333333,0.07236887330411752,0.0,0.028863468092725372,0.06180291772617237
bit_flip_p_0.10,1000,6,3268,False,1.0,bit_flip,0.1,1.0,1.0,0.5046666666666667,0.0427460534544998,0.014219196183489755,0.05025252525252526,0.020202020202020204,0.05504587155963303,0.04638328132455258,0.007345234868857507,125.5,45.29348739057305,0.12550000000000003,0.04529348739057305,148.16666666666666,0.09398309735532955,0.0,0.029444861248105216,0.06212231250338067
bit_flip_p_0.12,1000,6,3321,False,1.0,bit_flip,0.12,1.0,1.0,0.5041666666666668,0.056099436138169305,0.013011738797875615,0.06,0.039603960396039604,0.06862745098039216,0.053858679339104425,0.005123329663901489,67.16666666666667,54.937843665970966,0.06716666666666667,0.054937843665970966,171.16666666666666,0.10862267512124425,0.0,0.04049187413496666,0.07750511470322557
bit_flip_p_0.14,1000,6,3374,False,1.0,bit_flip,0.14,0.8333333333333334,1.0,0.4983333333333333,0.07000148367862208,0.021297286436804338,0.06526571024449385,0.05,0.10476190476190476,0.062832383872316,0.0112218320893398,36.5,44.01249822493606,0.0365,0.04401249822493606,184.66666666666666,0.12564960105760944,0.0,0.052377908667297454,0.09357657408438784
bit_flip_p_0.16,1000,6,3427,False,1.0,bit_flip,0.16,0.8333333333333334,1.0,0.5,0.06171475276406722,0.01904098843273369,0.06091527520098949,0.029411764705882353,0.08653846153846154,0.07212689830088595,0.01649657568103939,23.333333333333332,24.929233174461395,0.023333333333333334,0.0249292331744614,208.5,0.14511359265677518,0.0,0.045067361772116676,0.08384306278322762
bit_flip_p_0.18,1000,6,3480,False,1.0,bit_flip,0.18,0.5,1.0,0.5031666666666668,0.0990415057608804,0.025416483158509952,0.08854166666666666,0.07766990291262135,0.13725490196078433,0.08973804315556368,0.018211943014829035,0.5,0.5477225575051661,0.0005,0.0005477225575051661,151.66666666666666,0.17932454187362964,0.0,0.07795656843996342,0.1257831683344343
bit_flip_p_0.20,1000,6,3533,False,1.0,bit_flip,0.2,0.5,1.0,0.49800000000000005,0.088703342246701,0.027926051367015245,0.08042028692665185,0.061855670103092786,0.14285714285714285,0.09312706678902812,0.014191500125394758,1.1666666666666667,1.9407902170679516,0.0011666666666666668,0.001940790217067952,199.83333333333334,0.1901654567524157,0.0,0.06839709235667633,0.11411186778696018
phase_flip_p_0.00,1000,6,3586,False,1.0,phase_flip,0.0,1.0,1.0,0.4968333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.6666666666667,12.580408048496148,0.2976666666666667,0.01258040804849614,25.5,0.0,0.0,0.0,0.006404123563327127
