eve_probability,noise_probability,noise_model,qber_mean,qber_std,qber_median,acceptance_rate,final_key_rate_mean,final_key_length_mean,leakage_mean,pooled_ci_lower,pooled_ci_upper
0.0,0.0,depolarizing,0.0,0.0,0.0,1.0,0.29079999999999995,290.8,24.8,0.0,0.00784224926559409
0.0,0.05,depolarizing,0.016299822568350275,0.016717289008454445,0.020618556701030927,1.0,0.23779999999999996,237.8,92.4,0.008312620954196777,0.03194669259497616
0.0,0.1,depolarizing,0.05074254074319866,0.02522946809147219,0.0392156862745098,1.0,0.1034,103.4,156.0,0.03430093423593059,0.07320106639211621
0.0,0.15,depolarizing,0.08133808674985146,0.03535236655297689,0.08,0.8,0.024,24.0,155.6,0.06065167723654175,0.10871382617043654
0.0,0.2,depolarizing,0.08510168938398255,0.018059703645587018,0.07766990291262135,0.2,0.0002,0.2,200.4,0.06382850313751917,0.11273230428747591
0.25,0.0,depolarizing,0.06262199157704809,0.02200777684426194,0.05102040816326531,1.0,0.053200000000000004,53.2,183.0,0.044832548552941325,0.08822311533101748
0.25,0.05,depolarizing,0.07411895221588007,0.02791158282081799,0.08737864077669903,1.0,0.0318,31.8,240.4,0.053943481248030195,0.09994160955131176
0.25,0.1,depolarizing,0.13071119356833644,0.035654403156572576,0.14285714285714285,0.2,0.0002,0.2,86.6,0.10406206281048844,0.1629001834174905
0.25,0.15,depolarizing,0.11347629655775138,0.042647041442648484,0.0891089108910891,0.2,0.0002,0.2,158.4,0.08869903978710465,0.1449269645736655
0.25,0.2,depolarizing,0.17625739646692407,0.036369988176780006,0.17204301075268819,0.0,0.0,0.0,0.0,0.14505883971749772,0.212166248048338
0.5,0.0,depolarizing,0.12211962520857397,0.04133827659802243,0.12244897959183673,0.0,0.0,0.0,120.4,0.09698430206609851,0.15375162610077417
0.5,0.05,depolarizing,0.12935680710928238,0.039955847022810284,0.125,0.0,0.0,0.0,111.8,0.10323345739641648,0.16164656835865543
0.5,0.1,depolarizing,0.15600064860855017,0.03477205018380002,0.14563106796116504,0.0,0.0,0.0,0.0,0.12684956473540362,0.1899639123741366
0.5,0.15,depolarizing,0.1690911055968465,0.03674998928617215,0.17307692307692307,0.0,0.0,0.0,0.0,0.13933718320085903,0.2050114351293123
0.5,0.2,depolarizing,0.21367100146385573,0.05193731394855083,0.20202020202020202,0.0,0.0,0.0,0.0,0.17880391629718417,0.25043964553422005
0.75,0.0,depolarizing,0.18574314574314574,0.06516381066472551,0.1717171717171717,0.0,0.0,0.0,0.0,0.15398664899059233,0.22155346332443154
0.75,0.05,depolarizing,0.19705128205128206,0.036916733280313495,0.2,0.0,0.0,0.0,0.0,0.16409463568279123,0.23335511032536052
0.75,0.1,depolarizing,0.20078476173409196,0.014720296939597663,0.20192307692307693,0.0,0.0,0.0,0.0,0.16839691776636356,0.23761048593437872
0.75,0.15,depolarizing,0.22905526989021005,0.024418946058408515,0.22772277227722773,0.0,0.0,0.0,0.0,0.19474476836473092,0.267833263963623
0.75,0.2,depolarizing,0.22145693128736643,0.022520485419457528,0.22,0.0,0.0,0.0,0.0,0.18738719796426784,0.2599640543442452
1.0,0.0,depolarizing,0.24187939652308565,0.04059385755941972,0.23232323232323232,0.0,0.0,0.0,0.0,0.2063229455272874,0.28151465681167004
1.0,0.05,depolarizing,0.3098382943490281,0.054221812592515836,0.2815533980582524,0.0,0.0,0.0,0.0,0.2728644492630825,0.35324263992867155
1.0,0.1,depolarizing,0.28777998897164986,0.050314452391359316,0.3018867924528302,0.0,0.0,0.0,0.0,0.2496740018020418,0.3290349962572824
1.0,0.15,depolarizing,0.25657863145258103,0.047752452340336836,0.27,0.0,0.0,0.0,0.0,0.22060952505052162,0.2971664662581885
1.0,0.2,depolarizing,0.3275964231846585,0.027252445586841666,0.3333333333333333,0.0,0.0,0.0,0.0,0.28799948632613054,0.36942847497521486
